zip3,destination_area,destination_state,scf_name,scf_state,scf_id
005,MID-ISLAND,NY,SCF MID-ISLAND,NY,117
006,SAN JUAN,PR,SCF SAN JUAN,PR,006
007,SAN JUAN,PR,SCF SAN JUAN,PR,006
008,SAN JUAN,PR,SCF SAN JUAN,PR,006
009,SAN JUAN,PR,SCF SAN JUAN,PR,006
010,HARTFORD,CT,SCF HARTFORD,CT,060
011,HARTFORD,CT,SCF HARTFORD,CT,060
012,HARTFORD,CT,SCF HARTFORD,CT,060
013,CENTRAL,MA,SCF CENTRAL,MA,015
014,CENTRAL,MA,SCF CENTRAL,MA,015
015,CENTRAL,MA,SCF CENTRAL,MA,015
016,WORCESTER,MA,SCF CENTRAL,MA,015
017,CENTRAL,MA,SCF CENTRAL,MA,015
018,MIDDLESEX-ESX,MA,SCF MIDDLESEX-ESX,MA,018
019,MIDDLESEX-ESX,MA,SCF MIDDLESEX-ESX,MA,018
020,BROCKTON,MA,SCF BROCKTON,MA,023
021,BOSTON,MA,SCF BOSTON,MA,021
022,BOSTON,MA,SCF BOSTON,MA,021
023,BROCKTON,MA,SCF BROCKTON,MA,023
024,NORTHWEST BOS,MA,SCF BOSTON,MA,021
025,PROVIDENCE,RI,SCF PROVIDENCE,RI,028
026,PROVIDENCE,RI,SCF PROVIDENCE,RI,028
027,PROVIDENCE,RI,SCF PROVIDENCE,RI,028
028,PROVIDENCE,RI,SCF PROVIDENCE,RI,028
029,PROVIDENCE,RI,SCF PROVIDENCE,RI,028
030,MANCHESTER,NH,SCF MANCHESTER,NH,030
031,MANCHESTER,NH,SCF MANCHESTER,NH,030
032,MANCHESTER,NH,SCF MANCHESTER,NH,030
033,CONCORD,NH,SCF MANCHESTER,NH,030
034,MANCHESTER,NH,SCF MANCHESTER,NH,030
035,WHITE RIV JCT,VT,SCF WHITE RIV JCT,VT,050
036,WHITE RIV JCT,VT,SCF WHITE RIV JCT,VT,050
037,WHITE RIV JCT,VT,SCF WHITE RIV JCT,VT,050
038,MANCHESTER,NH,SCF MANCHESTER,NH,030
039,SOUTHERN ,ME,SCF SOUTHERN,ME,040
040,SOUTHERN,ME,SCF SOUTHERN,ME,040
041,SOUTHERN,ME,SCF SOUTHERN,ME,040
042,SOUTHERN,ME,SCF SOUTHERN,ME,040
043,SOUTHERN,ME,SCF SOUTHERN,ME,040
044,EASTERN,ME,SCF EASTERN,ME,044
045,SOUTHERN,ME,SCF SOUTHERN,ME,040
046,EASTERN,ME,SCF EASTERN,ME,044
047,EASTERN,ME,SCF EASTERN,ME,044
048,SOUTHERN,ME,SCF SOUTHERN,ME,040
049,EASTERN,ME,SCF EASTERN,ME,044
050,WHITE RIV JCT,VT,SCF WHITE RIV JCT,VT,050
051,WHITE RIV JCT,VT,SCF WHITE RIV JCT,VT,050
052,WHITE RIV JCT,VT,SCF WHITE RIV JCT,VT,050
053,WHITE RIV JCT,VT,SCF WHITE RIV JCT,VT,050
054,BURLINGTON,VT,SCF BURLINGTON,VT,054
055,MIDDLESEX-ESX,MA,SCF MIDDLESEX-ESX,MA,018
056,BURLINGTON,VT,SCF BURLINGTON,VT,054
057,WHITE RIV JCT,VT,SCF WHITE RIV JCT,VT,050
058,WHITE RIV JCT,VT,SCF WHITE RIV JCT,VT,050
059,WHITE RIV JCT,VT,SCF WHITE RIV JCT,VT,050
060,HARTFORD,CT,SCF HARTFORD,CT,060
061,HARTFORD,CT,SCF HARTFORD,CT,060
062,HARTFORD,CT,SCF HARTFORD,CT,060
063,HARTFORD,CT,SCF HARTFORD,CT,060
